#Points:1	velocidad:0	velocidad:1
0.547	-0.05848571	0.05785145
0.548	-0.05735503	0.0579476
0.549	-0.05622427	0.05804375
0.55	-0.05509358	0.0581399
0.551	-0.05396343	0.05823676
0.552	-0.05283328	0.05833362
0.553	-0.05170313	0.05843049
0.554	-0.05057315	0.05852782
0.555	-0.04944336	0.05862538
0.556	-0.04831357	0.05872294
0.557	-0.04718385	0.05882073
0.558	-0.04605418	0.05891898
0.559	-0.04492458	0.05901723
0.56	-0.04379498	0.05911547
0.561	-0.04266541	0.05921438
0.562	-0.04153584	0.05931329
0.563	-0.04040619	0.0594122
0.564	-0.03927653	0.05951154
0.565	-0.03814681	0.05961108
0.566	-0.0370171	0.05971063
0.567	-0.03588729	0.05981038
0.568	-0.03475721	0.05991054
0.569	-0.0336272	0.06001069
0.57	-0.03249719	0.06011085
0.571	-0.03136674	0.06021158
0.572	-0.03023621	0.06031231
0.573	-0.02910575	0.06041304
0.574	-0.0279749	0.06051413
0.575	-0.02684385	0.06061539
0.576	-0.0257128	0.06071666
0.577	-0.02458144	0.0608181
0.578	-0.02344966	0.06091986
0.579	-0.02231788	0.06102162
0.58	-0.0211861	0.06112339
0.581	-0.02005346	0.0612256
0.582	-0.01892075	0.06132782
0.583	-0.01778811	0.06143004
0.584	-0.0166548	0.06153252
0.585	-0.01552117	0.06163514
0.586	-0.01438748	0.06173776
0.587	-0.01325348	0.06184049
0.588	-0.01211875	0.06194346
0.589	-0.01098401	0.06204643
0.59	-0.009849281	0.0621494
0.591	-0.008713269	0.06225267
0.592	-0.007577325	0.06235593
0.593	-0.006441381	0.0624592
0.594	-0.005304562	0.06256262
0.595	-0.004167239	0.06266613
0.596	-0.003029983	0.06276963
0.597	-0.001892259	0.06287319
0.598	-0.000753601	0.06297687
0.599	0.000385058	0.06308055
0.6	0.001523785	0.06318423
0.601	0.00266393	0.06328802
0.602	0.003804075	0.06339181
0.603	0.00494422	0.0634956
0.604	0.006085404	0.06359942
0.605	0.007227177	0.06370327
0.606	0.008368882	0.0638071
0.607	0.009511128	0.06391093
0.608	0.01065446	0.06401474
0.609	0.01179786	0.06411856
0.61	0.01294119	0.06422237
0.611	0.0140862	0.06432608
0.612	0.01523121	0.0644298
0.613	0.01637622	0.06453351
0.614	0.01752245	0.06463712
0.615	0.01866918	0.06474066
0.616	0.01981592	0.06484421
0.617	0.02096324	0.06494767
0.618	0.02211174	0.06505096
0.619	0.02326031	0.06515426
0.62	0.02440881	0.06525755
0.621	0.0255591	0.06536052
0.622	0.02670939	0.06546348
0.623	0.02785975	0.06556645
0.624	0.02901125	0.06566914
0.625	0.03016335	0.0657717
0.626	0.03131545	0.06587425
0.627	0.03246815	0.06597664
0.628	0.03362214	0.0660787
0.629	0.03477605	0.06618076
0.63	0.03592997	0.06628282
0.631	0.0370857	0.0663843
0.632	0.0382415	0.06648578
0.633	0.03939723	0.06658726
0.634	0.04055416	0.06668828
0.635	0.04171169	0.06678909
0.636	0.04286922	0.0668899
0.637	0.04402741	0.06699045
0.638	0.04518672	0.0670905
0.639	0.04634603	0.06719054
0.64	0.04750534	0.06729059
0.641	0.0486664	0.06738978
0.642	0.04982753	0.06748897
0.643	0.05098859	0.06758816
0.644	0.05215078	0.06768672
0.645	0.05331355	0.06778496
0.646	0.05447638	0.06788321
0.647	0.0556397	0.0679811
0.648	0.05680412	0.0680783
0.649	0.05796854	0.06817549
0.65	0.05913295	0.06827269
0.651	0.06029903	0.06836874
0.652	0.06146504	0.0684648
0.653	0.06263105	0.06856085
0.654	0.06379808	0.06865607
0.655	0.06496561	0.06875087
0.656	0.06613321	0.06884569
0.657	0.06730121	0.06894004
0.658	0.06847018	0.0690335
0.659	0.06963915	0.06912696
0.66	0.07080818	0.06922043
0.661	0.07197849	0.06931244
0.662	0.07314881	0.06940445
0.663	0.07431912	0.06949646
0.664	0.07549026	0.06958743
0.665	0.07666188	0.06967789
0.666	0.07783343	0.06976834
0.667	0.07900536	0.06985824
0.668	0.08017804	0.06994703
0.669	0.0813508	0.07003582
0.67	0.08252348	0.07012461
0.671	0.08369717	0.07021163
0.672	0.08487086	0.07029865
0.673	0.08604455	0.07038567
0.674	0.08721889	0.07047143
0.675	0.08839346	0.07055657
0.676	0.08956802	0.0706417
0.677	0.09074283	0.07072617
0.678	0.09191812	0.07080931
0.679	0.09309349	0.07089245
0.68	0.09426879	0.07097559
0.681	0.09544466	0.07105662
0.682	0.09662054	0.07113765
0.683	0.09779648	0.07121869
0.684	0.09897264	0.07129824
0.685	0.1001489	0.07137705
0.686	0.1013252	0.07145585
0.687	0.1025016	0.07153388
0.688	0.1036782	0.07161035
0.689	0.1048547	0.07168682
0.69	0.1060313	0.07176329
0.691	0.1072079	0.0718373
0.692	0.1083845	0.07191131
0.693	0.1095612	0.07198533
0.694	0.1107377	0.07205762
0.695	0.1119141	0.07212905
0.696	0.1130906	0.07220049
0.697	0.1142671	0.07227103
0.698	0.1154432	0.07233976
0.699	0.1166193	0.0724085
0.7	0.1177955	0.07247724
0.701	0.1189711	0.07254316
0.702	0.1201468	0.07260908
0.703	0.1213224	0.072675
0.704	0.1224975	0.07273896
0.705	0.1236723	0.07280194
0.706	0.1248472	0.07286492
0.707	0.1260218	0.07292688
0.708	0.1271956	0.0729868
0.709	0.1283695	0.07304671
0.71	0.1295434	0.07310663
0.711	0.1307161	0.07316336
0.712	0.1318887	0.07322009
0.713	0.1330614	0.07327681
0.714	0.134233	0.07333133
0.715	0.1354042	0.07338475
0.716	0.1365754	0.07343816
0.717	0.137746	0.07349043
0.718	0.1389155	0.0735404
0.719	0.140085	0.07359037
0.72	0.1412545	0.07364035
0.721	0.1424219	0.07368675
0.722	0.1435894	0.07373316
0.723	0.1447569	0.07377956
0.724	0.1459228	0.0738235
0.725	0.1470881	0.07386621
0.726	0.1482533	0.07390892
0.727	0.1494177	0.07395035
0.728	0.1505804	0.07398924
0.729	0.1517431	0.07402812
0.73	0.1529058	0.07406701
0.731	0.1540657	0.07410194
0.732	0.1552256	0.07413687
0.733	0.1563854	0.0741718
0.734	0.1575433	0.07420401
0.735	0.1587001	0.07423485
0.736	0.1598568	0.0742657
0.737	0.1610125	0.07429514
0.738	0.1621658	0.07432177
0.739	0.1633193	0.0743484
0.74	0.1644726	0.07437503
0.741	0.1656223	0.07439731
0.742	0.1667719	0.07441959
0.743	0.1679216	0.07444188
0.744	0.1690686	0.07446118
0.745	0.1702142	0.07447898
0.746	0.1713599	0.07449679
0.747	0.1725041	0.07451305
0.748	0.1736454	0.07452625
0.749	0.1747868	0.07453944
0.75	0.1759281	0.07455264
0.751	0.1770647	0.07456109
0.752	0.1782014	0.07456954
0.753	0.1793381	0.07457799
0.754	0.1804715	0.07458318
0.755	0.1816032	0.07458676
0.756	0.1827349	0.07459033
0.757	0.1838649	0.07459223
0.758	0.1849913	0.07459079
0.759	0.1861177	0.07458935
0.76	0.1872441	0.07458791
0.761	0.1883649	0.07458132
0.762	0.1894858	0.07457473
0.763	0.1906066	0.07456814
0.764	0.1917234	0.07455803
0.765	0.1928383	0.07454615
0.766	0.1939532	0.07453428
0.767	0.1950661	0.0745206
0.768	0.1961747	0.0745033
0.769	0.1972833	0.07448601
0.77	0.198392	0.07446871
0.771	0.1994941	0.07444585
0.772	0.2005962	0.074423
0.773	0.2016982	0.07440014
0.774	0.2027957	0.07437348
0.775	0.2038909	0.07434492
0.776	0.2049862	0.07431636
0.777	0.206079	0.07428585
0.778	0.2071671	0.07425145
0.779	0.2082551	0.07421704
0.78	0.2093431	0.07418264
0.781	0.2104238	0.07414224
0.782	0.2115044	0.07410184
0.783	0.212585	0.07406145
0.784	0.2136604	0.07401696
0.785	0.2147333	0.07397042
0.786	0.2158062	0.07392388
0.787	0.2168764	0.07387525
0.788	0.2179413	0.07382242
0.789	0.2190062	0.07376959
0.79	0.2200712	0.07371676
0.791	0.2211279	0.07365748
0.792	0.2221846	0.0735982
0.793	0.2232413	0.07353892
0.794	0.2242925	0.07347522
0.795	0.2253408	0.07340933
0.796	0.2263891	0.07334344
0.797	0.2274346	0.07327528
0.798	0.2284743	0.07320261
0.799	0.2295142	0.07312993
0.8	0.230554	0.07305725
0.801	0.2315851	0.07297762
0.802	0.2326162	0.07289798
0.803	0.2336473	0.07281835
0.804	0.2346727	0.07273395
0.805	0.2356951	0.07264717
0.806	0.2367176	0.07256039
0.807	0.2377371	0.07247116
0.808	0.2387509	0.07237703
0.809	0.2397646	0.07228291
0.81	0.2407784	0.07218879
0.811	0.2417835	0.07208712
0.812	0.2427886	0.07198546
0.813	0.2437938	0.07188378
0.814	0.2447933	0.07177693
0.815	0.2457901	0.07166749
0.816	0.2467868	0.07155805
0.817	0.2477808	0.07144594
0.818	0.2487695	0.07132849
0.819	0.2497581	0.07121104
